,Title,Year,Foreign Percent,Domestic Percent,Foreign Lifetime Gross,Domestic Lifetime Gross,Global Lifetime Gross
107,Fast & Furious Presents: Hobbs & Shaw,2019,77.1,22.9,585100000,173956935,759056935
108,Maleficent,2014,68.2,31.8,517001401,241410378,758411779
109,The Amazing Spider-Man,2012,65.4,34.6,495900000,262030663,757930663
110,The Hunger Games: Mockingjay - Part 1,2014,55.4,44.6,418220826,337135885,755356711
111,Shrek Forever After,2010,68.3,31.7,513864080,238736787,752600867
112,Madagascar 3: Europe's Most Wanted,2012,71.0,29.0,530529792,216391482,746921274
113,Suicide Squad,2016,56.5,43.5,421746840,325100054,746846894
114,X-Men: Days of Future Past,2014,68.6,31.4,512124166,233921534,746045700
115,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,60.8,39.2,453302158,291710957,745013115
116,Monsters University,2013,63.9,36.1,475066881,268492764,743559645
117,The Matrix Reloaded,2003,62.0,38.0,460271476,281576461,741847937
118,Up,2009,60.1,39.9,442094938,293004164,735099102
119,Ne Zha,2019,99.5,0.5,722568541,3695533,726264074
120,F9: The Fast Saga,2021,76.2,23.8,553223556,173005945,726229501
121,Gravity,2013,62.1,37.9,449100000,274092705,723192705
122,Captain America: The Winter Soldier,2014,63.6,36.4,454654931,259766572,714421503
123,The Twilight Saga: Breaking Dawn - Part 1,2011,60.5,39.5,430918723,281287133,712205856
124,The Twilight Saga: New Moon,2009,58.1,41.9,413209228,297816253,711025481
125,Dawn of the Planet of the Apes,2014,70.6,29.4,502098977,208545589,710644566
126,Transformers,2007,55.0,45.0,390463587,319246193,709709780
127,The Amazing Spider-Man 2,2014,71.4,28.6,506128390,202853933,708982323
128,It,2017,53.1,46.9,372967570,328874981,701842551
129,Interstellar,2014,73.2,26.8,513709189,188020017,701729206
130,The Wandering Earth,2019,99.2,0.8,694021099,5971413,699992512
131,The Twilight Saga: Eclipse,2010,57.0,43.0,397959596,300531751,698491347
132,Mission: Impossible - Ghost Protocol,2011,69.9,30.1,485315477,209397903,694713380
133,The Hunger Games,2012,41.2,58.8,286384032,408010692,694394724
134,Detective Chinatown 3,2021,100.0,0.0,686257563,0,686257563
135,Mission: Impossible - Rogue Nation,2015,71.4,28.6,487674259,195042377,682716636
136,Forrest Gump,1994,51.3,48.7,347770863,330455270,678226133
137,Doctor Strange,2016,65.7,34.3,445154156,232641920,677796076
138,The Sixth Sense,1999,56.4,43.6,379300140,293506292,672806432
139,Man of Steel,2013,56.4,43.6,377000000,291045518,668045518
140,Ice Age 2: The Meltdown,2006,70.7,29.3,471763885,195330621,667094506
141,Kung Fu Panda 2,2011,75.2,24.8,500443218,165249063,665692281
142,Justice League,2017,65.2,34.8,428902692,229024295,657926987
143,Big Hero 6,2014,66.2,33.8,435341858,222527828,657869686
144,Fantastic Beasts: The Crimes of Grindelwald,2018,75.6,24.4,495300000,159555901,654855901
145,Pirates of the Caribbean: The Curse of the Black Pearl,2003,53.3,46.7,348850097,305413918,654264015
146,Star Wars: Episode II - Attack of the Clones,2002,52.5,47.5,343103230,310676740,653779970
147,The Hunger Games: Mockingjay - Part 2,2015,56.9,43.1,371704359,281723902,653428261
148,Thor: The Dark World,2013,68.0,32.0,438421000,206362140,644783140
149,Moana,2016,61.4,38.6,394911853,248757044,643668897
150,Sing,2016,57.3,42.7,363759959,270578425,634338384
151,Kung Fu Panda,2008,65.9,34.1,416311606,215771591,632083197
152,The Incredibles,2004,58.6,41.4,370165961,261441092,631607053
153,The Martian,2015,63.8,36.2,402187155,228433663,630620818
154,Hancock,2008,63.8,36.2,401497154,227946274,629443428
155,Water Gate Bridge,2022,100.0,0.0,626289485,117294,626406779
156,Fast Five,2011,66.5,33.5,416300000,209837675,626137675
157,Men in Black 3,2012,71.3,28.7,445005922,179020854,624026776
158,Iron Man 2,2010,49.9,50.1,311500000,312433331,623933331
159,Ratatouille,2007,66.9,33.1,417280431,206445654,623726085
160,Ant-Man and the Wasp,2018,65.2,34.8,406025399,216648740,622674139
161,How to Train Your Dragon 2,2014,71.5,28.5,444534595,177002924,621537519
162,Logan,2017,63.5,36.5,392902882,226277068,619179950
163,The Lost World: Jurassic Park,1997,63.0,37.0,389552320,229086679,618638999
164,Casino Royale,2006,72.8,27.2,449056952,167445960,616502912
165,The Passion of the Christ,2004,39.4,60.6,241271576,370782930,612054506
166,Mamma Mia!,2008,76.4,23.6,467088155,144169664,611257819
167,Life of Pi,2012,79.5,20.5,484029542,124987023,609016565
168,Transformers: The Last Knight,2017,78.5,21.5,475256474,130168683,605425157
169,Madagascar: Escape 2 Africa,2008,70.2,29.8,423889404,180010950,603900354
170,War of the Worlds,2005,61.2,38.8,369592765,234280354,603873119
171,Tangled,2010,66.1,33.9,391640880,200821936,592462816
172,Quantum of Solace,2008,71.4,28.6,421212055,168368427,589580482
173,Men in Black,1997,57.5,42.5,338700000,250690539,589390539
174,The Croods,2013,68.1,31.9,400067558,187168425,587235983
175,The Hangover Part II,2011,56.6,43.4,332300000,254464305,586764305
176,Iron Man,2008,45.5,54.5,266762121,319034126,585796247
177,I Am Legend,2007,56.2,43.8,329017042,256393010,585410052
178,Ready Player One,2018,76.4,23.6,445203499,137715350,582918849
179,"Monsters, Inc.",2001,49.9,50.1,289065482,290642256,579707738
180,Operation Red Sea,2018,99.7,0.3,577786879,1543547,579330426
181,Night at the Museum,2006,56.3,43.7,323617961,250863268,574481229
182,Fifty Shades of Grey,2015,70.8,29.2,403484237,166167230,569651467
